name,currency,sector,industry,market_cap,dscr,interest_coverage,debt_ebitda,current_ratio,dscr_score,interest_coverage_score,debt_ebitda_score,current_ratio_score,total_score,rating,risk_band,decision,reason_codes,ticker
Vmoto Limited,AUD,Consumer Cyclical,Recreational Vehicles,27592498,0.39,-0.22,6.85,,1,1,1,0,1.0,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,VMT.AX
RPM Automotive Group Limited,AUD,Consumer Cyclical,Auto Parts,14165985,3.32,4.12,3.31,,5,4,3,0,4.06,AA,Low,Approve,,RPM.AX
Kina Securities Limited,AUD,Financial Services,Financial Conglomerates,363277536,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,KSL.AX
BSP Financial Group Limited,AUD,Financial Services,Banks - Regional,3782700288,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,BFL.AX
BHP Group Limited,AUD,Basic Materials,Other Industrial Metals & Mining,225269465088,7.26,10.79,0.95,,5,5,5,0,5.0,AAA,Low,Approve,,BHP.AX
Multistack International Limited,AUD,Industrials,Specialty Industrial Machinery,681520,-3.15,-7.61,-3.54,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,MSI.AX
DIGICO INF STAPLED [DGT],AUD,Real Estate,REIT - Specialty,1522136320,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,DGT.AX
Close the Loop Ltd,AUD,Industrials,Waste Management,18614746,1.2,-1.54,9.48,,3,1,1,0,1.87,CCC,High,Decline,Interest coverage below 1.5x,CLG.AX
AVADA Group Limited,AUD,Industrials,Infrastructure Operations,11890903,1.16,1.14,3.1,,2,1,3,0,2.19,B,High,Decline,Interest coverage below 1.5x,AVD.AX
NTAW Holdings Limited,AUD,Consumer Cyclical,Auto Parts,40249828,-1.21,-5.26,-11.73,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,NTD.AX
Step One Clothing Limited,AUD,Consumer Cyclical,Apparel Retail,62023700,1696.73,1666.27,,,5,5,0,0,5.0,AAA,Low,Approve,,STP.AX
Atomos Limited,AUD,Technology,Consumer Electronics,40035936,-2.0,-16.95,-0.27,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AMS.AX
AGL Energy Limited,AUD,Utilities,Utilities - Independent Power Producers,6290187264,0.84,0.62,3.29,,1,1,3,0,1.75,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AGL.AX
Mayfield Childcare Limited,AUD,Consumer Cyclical,Personal Services,36203812,2.88,1.06,9.62,,5,1,1,0,2.75,BB,Medium,Decline,Interest coverage below 1.5x,MFD.AX
Elanor Investors Group,AUD,Financial Services,Asset Management,114656400,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,ENN.AX
Metcash Limited,AUD,Consumer Defensive,Food Distribution,3604684544,0.7,6.1,2.7,,1,5,3,0,2.5,BB,Medium,Decline,DSCR below 1.0x,MTS.AX
Endeavour Group Limited,AUD,Consumer Defensive,Beverages - Wineries & Distilleries,6536441856,0.28,6.74,4.11,,1,5,2,0,2.12,B,High,Decline,DSCR below 1.0x,EDV.AX
Blue Star Helium Limited,AUD,Energy,Oil & Gas E&P,25220198,-6.17,-9.68,-1.03,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,BNL.AX
Vintage Energy Limited,AUD,Energy,Oil & Gas E&P,8347655,-0.63,-1.33,-6.39,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,VEN.AX
Aims Property Securities Fund,AUD,Real Estate,REIT - Diversified,138899280,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,APW.AX
Qantas Airways Limited,AUD,Industrials,Airlines,15510292480,9.49,9.63,1.75,,5,5,4,0,4.63,AAA,Low,Approve,,QAN.AX
InvestSMART Group Limited,AUD,Financial Services,Financial Conglomerates,17066296,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,INV.AX
BPH Energy Limited,AUD,Financial Services,Asset Management,10976640,-395.04,,-0.05,,1,0,5,0,2.85,BB,Medium,Decline,DSCR below 1.0x,BPH.AX
Noumi Limited,AUD,Consumer Defensive,Packaged Foods,36024208,-2.76,-12.62,-4.42,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,NOU.AX
Decidr AI Industries Ltd,AUD,Technology,Software - Infrastructure,200938528,-151.04,-153.48,-0.0,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,DAI.AX
Adheris Health Limited,AUD,Healthcare,Health Information Services,12093909,2.75,1.48,1.79,,5,1,4,0,3.88,A,Low,Decline,Interest coverage below 1.5x,AHE.AX
Freedom Care Group Holdings Limited,AUD,Healthcare,Medical Care Facilities,4007738,11.43,32.26,1.25,,5,5,4,0,4.63,AAA,Low,Approve,,FCG.AX
Prestal Holdings Limited,AUD,Consumer Defensive,Household & Personal Products,7841137,-9.12,-231.76,-0.0,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,PTL.AX
McPherson's Limited,AUD,Consumer Defensive,Household & Personal Products,35267540,-1.0,-19.78,-0.6,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,MCP.AX
Guzman y Gomez (Holdings) Ltd,AUD,Consumer Cyclical,Restaurants,2252803072,4.13,223.98,4.8,,5,5,2,0,3.88,A,Low,Approve,,GYG.AX
QBE Insurance Group Limited,AUD,Financial Services,Insurance - Property & Casualty,29901897728,,11.14,,,0,5,0,0,5.0,AAA,Low,Unknown,Insufficient financial data to score (missing key line items/ratios).,QBE.AX
Classic Minerals Limited,AUD,Basic Materials,Other Industrial Metals & Mining,4265855,-1.58,-2.31,-1.42,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,CLZ.AX
Sheffield Resources Limited,AUD,Basic Materials,Other Industrial Metals & Mining,26895858,-11024.0,-11024.0,,,1,1,0,0,1.0,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,SFX.AX
KNeoMedia Limited,AUD,,,7102860,0.72,-4.41,5.21,,1,1,1,0,1.0,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,KNM.AX
GTN Limited,AUD,Communication Services,Advertising Agencies,56246408,1.57,5.65,0.32,,4,5,5,0,4.56,AAA,Low,Approve,,GTN.AX
Alternative Investment Trust,AUD,Financial Services,Asset Management,50327992,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AIQ.AX
Lion Selection Group Limited,AUD,Basic Materials,Gold,141097296,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,LSX.AX
Cann Group Limited,AUD,Healthcare,Drug Manufacturers - Specialty & Generic,13901367,-1.73,-6.51,-2.17,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,CAN.AX
Island Pharmaceuticals Limited,AUD,Healthcare,Biotechnology,125109360,-12.05,-61.0,-0.15,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,ILA.AX
Tian An Australia Limited,AUD,Real Estate,Real Estate - Development,27714826,0.47,1.26,64.12,,1,1,1,0,1.0,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,TIA.AX
Acumentis Group Limited,AUD,Real Estate,Real Estate Services,16721629,2.38,17.36,0.53,,5,5,5,0,5.0,AAA,Low,Approve,,ACU.AX
Evolution Mining Limited,AUD,Basic Materials,Gold,25626441728,1.68,5.36,1.42,,4,5,4,0,4.19,AA,Low,Approve,,EVN.AX
Coles Group Limited,AUD,Consumer Defensive,Grocery Stores,28909664256,5.09,14.24,3.21,,5,5,3,0,4.25,AA,Low,Approve,,COL.AX
X2M Connect Limited,AUD,Technology,Scientific & Technical Instruments,10131378,-1.21,-5.71,-1.25,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,X2M.AX
DTI Group Limited,AUD,Industrials,Security & Protection Services,10746586,-4.69,-12.3,-0.45,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,DTI.AX
Comms Group Limited,AUD,Technology,Information Technology Services,39302640,0.35,0.16,4.79,,1,1,2,0,1.38,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,CCG.AX
Spark New Zealand Limited,AUD,Communication Services,Telecom Services,3701034752,3.51,4.54,2.27,,5,4,3,0,4.06,AA,Low,Approve,,SPK.AX
Alliance Aviation Services Limited,AUD,Industrials,Airports & Air Services,202894112,3.11,3.6,2.5,,5,3,3,0,3.88,A,Low,Approve,,AQZ.AX
Virgin Australia Holdings Ltd,AUD,Industrials,Airlines,2697867264,4.05,2.14,,,5,2,0,0,4.1,AA,Low,Approve,,VGN.AX
Energy World Corporation Ltd,AUD,Utilities,Utilities - Independent Power Producers,196446896,-6.22,-14.47,-1.06,,1,1,5,0,2.5,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,EWC.AX
